OBJECTID,Latitude,Longitude,Name,Address,City,Zip Code,x,y
1,34.05470006,-118.2616069,CITY OF LOS ANGELES HOUSING AND COMMUNITY INVESTMENT DEPARTMENT - CENTRAL CITY NEIGHBORHOOD PARTNERS - WESTLAKE PICO UNION FAMILY SOURCE CENTER FAMILYSOURCE CENTER,501 S BIXEL ST,LOS ANGELES,90017,6482428.85457556,1842389.92638905
2,34.0373501,-118.3174509,CITY OF LOS ANGELES HOUSING AND COMMUNITY INVESTMENT DEPARTMENT - 1736 FAMILY CRISIS CENTER - WEST ADAMS FAMILYSOURCE CENTER,2116 ARLINGTON AVE STE 200,LOS ANGELES,90018,6465493.65550639,1836124.68990381
3,34.08774048,-117.9625185,CITY OF BALDWIN PARK DEPARTMENT OF RECREATION AND COMMUNITY SERVICES - TERI G. MUSE FAMILY SERVICE CENTER,14305 MORGAN ST,BALDWIN PARK,91706,6573019.12943138,1854312.97045632
4,33.8427985,-118.0701091,CITY OF LAKEWOOD RECREATION AND COMMUNITY SERVICES - PALMS PARK AND COMMUNITY CENTER / DASH TRANSIT,12305 E 207TH ST,LAKEWOOD,90715,6540380.29018164,1765178.58573331
5,34.03785781,-118.178408,LOS ANGELES COUNTY AGING AND DISABILITIES DEPARTMENT - EAST LOS ANGELES COMMUNITY SERVICE CENTER,133 N SUNOL DR,LOS ANGELES,90063,6507619.13260697,1836205.55391531
6,33.9642626,-118.0676184,LOS ANGELES COUNTY AGING AND DISABILITIES DEPARTMENT - LOS NIETOS COMMUNITY AND SENIOR CENTER,11640 E SLAUSON AVE,WHITTIER,90606,6541166.37587981,1809381.67777315
7,33.78395405,-118.1916333,CATHOLIC CHARITIES OF LOS ANGELES - SAN PEDRO REGION - LONG BEACH COMMUNITY SERVICES CENTER,123 E 14TH ST,LONG BEACH,90813,6503436.18985739,1743811.59893981
8,34.4178966,-118.5430913,LOS ANGELES COUNTY AGING AND DISABILITIES DEPARTMENT - SANTA CLARITA VALLEY SERVICE CENTER,26111 BOUQUET CANYON RD STE H1 BLDG G-0,SANTA CLARITA,91350,6397881.14998363,1974903.29522006
9,34.04482187,-118.0452702,LOS ANGELES COUNTY DEPARTMENT OF AGING AND DISABILITY - SAN GABRIEL VALLEY SERVICE CENTER,1441 SANTA ANITA AVE,SOUTH EL MONTE,91733,6547956.23664388,1838695.03450064
10,34.06494091,-118.0358827,CITY OF EL MONTE COMMUNITY AND SENIOR SERVICES - JACK CRIPPEN MULTIPURPOSE SENIOR CENTER,3120 TYLER AVE,EL MONTE,91731,6550802.68994047,1846015.59499073
11,34.04057551,-118.1645415,LOS ANGELES COUNTY AGING AND DISABILITIES DEPARTMENT - CENTRO MARAVILLA SERVICE CENTER,4716 E CESAR E CHAVEZ AVE,LOS ANGELES,90022,6511821.79874231,1837187.41054739
12,33.902901,-118.304243,LOS ANGELES COUNTY AGING AND DISABILITIES DEPARTMENT - ASIAN COMMUNITY SERVICE CENTER,14112 S KINGSLEY DR,GARDENA,90249,6469347.08743206,1787183.64342915
13,34.27538464,-118.3960079,RESCUE MISSION ALLIANCE - VALLEY FOOD BANK - LAKEVIEW TERRACE AMERICAN BAPTIST CHURCH,11901 FOOTHILL BLVD,SYLMAR,91342,6442034.97407739,1922833.65099998
14,34.204725,-118.4094135,AIDS PROJECT LOS ANGELES - VANCE NORTH NECESSITIES OF LIFE PROGRAM - NORTH HOLLYWOOD,7336 BELLAIRE AVE,NORTH HOLLYWOOD,91605,6437880.38232097,1897135.76505989
15,34.70119974,-118.1446044,LOS ANGELES COUNTY AGING AND DISABILITIES DEPARTMENT - ANTELOPE VALLEY SENIOR CENTER,777 W JACKMAN ST,LANCASTER,93534,6518207.67475006,2077593.2289474
16,34.20837153,-118.5279255,RESCUE MISSION ALLIANCE - VALLEY FOOD BANK - FIRST UNITED METHODIST CHURCH OF RESEDA,18120 SATICOY ST,RESEDA,91335,6402054.44478664,1898629.85885648
17,34.25967,-118.502284,RESCUE MISSION ALLIANCE - VALLEY FOOD BANK - VALLEY KOREAN UNITED METHODIST CHURCH,10408 BALBOA BLVD,GRANADA HILLS,91344,6409900.25553855,1917258.33931598
18,33.92463659,-118.240419,AIDS PROJECT LOS ANGELES - VANCE NORTH NECESSITIES OF LIFE PROGRAM - OASIS CLINIC,1807 E 120TH ST,LOS ANGELES,90059,6488733.50928906,1795041.2287638
19,34.0100917,-118.4948293,AIDS PROJECT LOS ANGELES - VANCE NORTH NECESSITIES OF LIFE PROGRAM - SANTA MONICA,1637 APPIAN WAY,SANTA MONICA,90401,6411705.63152097,1826422.0659364
20,33.91501771,-118.271824,LOS ANGELES COUNTY AGING AND DISABILITIES DEPARTMENT - WILLOWBROOK SENIOR CENTER,12915 JARVIS AVE,LOS ANGELES,90061,6479196.60907155,1791564.98834097
21,34.026372,-118.3351265,WEST ANGELES COMMUNITY DEVELOPMENT CORPORATION - COMMUNITY ASSISTANCE DEPARTMENT,3045 CRENSHAW BLVD,LOS ANGELES,90016,6460125.25712247,1832146.94687507
22,34.0175914,-117.9125652,BUDDHIST TZU CHI FOUNDATION - MOBILE FOOD PANTRY - VILLACORTA ELEMENTARY SCHOOL,17840 VILLACORTA ST,LA PUENTE,91744,6588166.37538356,1828793.76394889
23,34.0995601,-117.7531131,AIDS PROJECT LOS ANGELES - VANCE NORTH NECESSITIES OF LIFE PROGRAM - CLAREMONT,233 W HARRISON AVE,CLAREMONT,91711,6636413.01642288,1858704.0305718
24,34.57983647,-118.1239957,AIDS PROJECT LOS ANGELES - VANCE NORTH NECESSITIES OF LIFE PROGRAM - LANCASTER,320 E PALMDALE BLVD,PALMDALE,93550,6524347.39147322,2033417.45214164
25,34.1775883,-118.1509283,AIDS PROJECT LOS ANGELES - VANCE NORTH NECESSITIES OF LIFE PROGRAM - PASADENA,1845 N FAIR OAKS AVE G-125,PASADENA,91103,6516020.83791639,1887042.40138839
26,34.166187,-118.3789425,RESCUE MISSION ALLIANCE - VALLEY FOOD BANK - ST. PAUL'S FIRST LUTHERAN CHURCH,5244 TUJUNGA AVE,NORTH HOLLYWOOD,91601,6447040.6546828,1883075.05991365
27,34.0520022,-118.2203334,CATHOLIC CHARITIES OF LOS ANGELES - BROWNSON HOUSE COMMUNITY SERVICES CENTER,1307 WARREN ST,LOS ANGELES,90033,6494928.54381497,1841378.15479057
28,34.19950354,-118.5373805,AIDS PROJECT LOS ANGELES - VANCE NORTH NECESSITIES OF LIFE PROGRAM - RESEDA,7101 BAIRD AVE,RESEDA,91335,6399178.54207389,1895417.83148789
29,33.99949466,-118.4713364,AIDS PROJECT LOS ANGELES - VANCE NORTH NECESSITIES OF LIFE PROGRAM - VENICE,622 ROSE AVE,VENICE,90291,6418807.33614956,1822531.41164422
30,33.855912,-118.133742,CITY OF LAKEWOOD RECREATION AND COMMUNITY SERVICES - BURNS COMMUNITY CENTER,5510 CLARK AVE,LAKEWOOD,90712,6521063.21923581,1769970.50856414
31,33.97789505,-118.2190218,BUDDHIST TZU CHI FOUNDATION - MOBILE FOOD PANTRY - MILES ELEMENTARY SCHOOL,6720 MILES AVE,HUNTINGTON PARK,90255,6495267.08086756,1814408.26155198
32,34.02359424,-118.1562953,DESIGNATED EXCEPTIONAL SERVICES FOR INDEPENDENCE - EXTRA HELPINGS PROGRAM,646 S ATLANTIC BLVD,EAST LOS ANGELES,90022,6514310.40925063,1831003.61025098
33,33.9664187,-118.3978028,YMCA OF METROPOLITAN LOS ANGELES - WESTCHESTER FAMILY YMCA - FOOD PROGRAM,8020 ALVERSTONE ST,LOS ANGELES,90045,6441047.75426705,1810398.1134043
34,33.78745227,-118.1924018,LUTHERAN SOCIAL SERVICES OF SOUTHERN CALIFORNIA - LONG BEACH AREA OFFICE,1611 PINE AVE,LONG BEACH,90813,6503205.09255056,1745085.14298065
35,34.22989748,-118.555443,RESCUE MISSION ALLIANCE - VALLEY FOOD BANK - THE HOUSE - A CHURCH FAMILY,19345 LONDELIUS ST,NORTHRIDGE,91324,6393778.02236314,1906508.2561574
36,34.0930749,-118.1282285,BUDDHIST TZU CHI FOUNDATION - MOBILE FOOD PANTRY - ALHAMBRA HIGH SCHOOL,101 S 2ND ST,ALHAMBRA,91801,6522847.3416518,1856276.91108222
37,33.8838513,-118.3060838,CITY OF GARDENA RECREATION AND HUMAN SERVICES - HUMAN SERVICES DIVISION,1651 W 162ND ST,GARDENA,90247,6468767.38386706,1780252.73570307
38,33.94598724,-118.2915736,YMCA OF METROPOLITAN LOS ANGELES - WEINGART WELLNESS AND AQUATIC CENTER,9900 S VERMONT AVE,LOS ANGELES,90044,6473237.11869398,1802852.23938848
39,33.9027243,-118.16004,CITY OF PARAMOUNT DEPARTMENT OF PARKS AND RECREATION - SENIOR SERVICES,14400 PARAMOUNT BLVD,PARAMOUNT,90723,6513105.67445539,1787018.28057089
40,34.31364899,-118.4280255,RESCUE MISSION ALLIANCE - VALLEY FOOD BANK - LA VOZ SYLMAR SDA CHURCH,13550 HERRON ST,SYLMAR,91342,6432421.69737221,1936798.27530165
41,34.23168,-118.4574725,RESCUE MISSION ALLIANCE - VALLEY FOOD BANK - OASIS FOURSQUARE CHURCH,8856 KESTER AVE,PANORAMA CITY,91402,6423394.03793414,1907007.73448914
42,34.22923051,-118.4357939,RESCUE MISSION ALLIANCE - VALLEY FOOD BANK - PANORAMA BAPTIST CHURCH,8767 WOODMAN AVE,ARLETA,91331,6429942.73645088,1906087.2136924
43,34.212375,-118.536043,RESCUE MISSION ALLIANCE - VALLEY FOOD BANK - RESEDA CHURCH OF CHRIST,7806 RESEDA BLVD,RESEDA,91335,6399607.94771114,1900099.76241273
44,34.0219327,-118.1643607,L A CARE HEALTH PLAN - COMMUNITY RESOURCE CENTER - EAST LOS ANGELES,4801 WHITTIER BLVD,LOS ANGELES,90022,6511865.47942922,1830402.8414394
45,34.06305885,-118.3028813,AIDS PROJECT LOS ANGELES - VANCE NORTH NECESSITIES OF LIFE PROGRAM,611 S KINGSLEY DR,LOS ANGELES,90005,6469935.91991581,1845466.94221665
46,33.96507553,-118.1816133,CITY OF CUDAHY PARKS AND RECREATION DEPARTMENT - CLARA STREET PARK,4835 CLARA ST,CUDAHY,90201,6506600.18779448,1809720.37230572
