tract,no_vehicle,no_vehicle_universe,no_vehicle_pct,sup_dist,csa,spa,ESRI_OID,Shape__Area,Shape__Length
06037101110,170,1558,10.9,District 5,Los Angeles - Tujunga,SPA 2 - San Fernando,7337,12329806.2148438,14765.6490038758
06037101122,0,1407,0,District 5,Los Angeles - Tujunga,SPA 2 - San Fernando,7338,29088657.1923828,30028.2137708717
06037101220,56,1357,4.1,District 5,Los Angeles - Tujunga,SPA 2 - San Fernando,7339,7532651.15527344,12504.5521301933
06037101221,265,1483,17.9,District 5,Los Angeles - Tujunga,SPA 2 - San Fernando,7340,3874399.41796875,8938.42134861514
06037101222,172,948,18.1,District 5,Los Angeles - Tujunga,SPA 2 - San Fernando,7341,3090537.72753906,9750.96042020995
06037101300,68,1513,4.5,District 5,Los Angeles - Tujunga,SPA 2 - San Fernando,7342,27694822.4121094,28700.8705710272
06037101400,170,1336,12.7,District 5,Los Angeles - Tujunga,SPA 2 - San Fernando,7343,67867979.1171875,41887.3323731771
06037102103,74,714,10.4,District 5,Los Angeles - Sun Valley,SPA 2 - San Fernando,7344,12811195.3740234,16198.5518254667
06037102104,42,1299,3.2,District 5,Los Angeles - Sun Valley,SPA 2 - San Fernando,7345,17933361.9628906,27118.7081563965
06037102105,4,518,0.8,District 5,Los Angeles - Sun Valley,SPA 2 - San Fernando,7346,5257057.125,9952.66420243989
06037102107,59,1184,5,District 5,Los Angeles - Sunland,SPA 2 - San Fernando,7347,139121771.666016,63442.6564858111
06037103101,15,982,1.5,District 5,Los Angeles - Sunland,SPA 2 - San Fernando,7348,21327764.9394531,24165.7669241483
06037103102,186,1646,11.3,District 5,Los Angeles - Sunland,SPA 2 - San Fernando,7349,13323875.8798828,16273.2413130881
06037103201,250,1581,15.8,District 5,Los Angeles - Sunland,SPA 2 - San Fernando,7350,21040409.2324219,18173.2239589304
06037103202,0,649,0,District 5,Los Angeles - Lakeview Terrace,SPA 2 - San Fernando,7351,51185007.7939453,44562.150658153
06037103300,72,1296,5.6,District 5,Los Angeles - Shadow Hills,SPA 2 - San Fernando,7352,66024681.0556641,37007.098020571
06037103401,10,972,1,District 5,Los Angeles - Sunland,SPA 2 - San Fernando,7353,15045317.2578125,20208.4809663066
06037103402,77,1378,5.6,District 5,Los Angeles - Sunland,SPA 2 - San Fernando,7354,11987350.8457031,14259.8471616325
06037104103,0,868,0,District 5,Los Angeles - Lakeview Terrace,SPA 2 - San Fernando,7355,10007491.6875,12992.0373117186
06037104105,118,1580,7.5,District 3,Los Angeles - Pacoima,SPA 2 - San Fernando,7356,6295469.3984375,11639.6968948502
